test1          : Simple Hello Program                : 1   of 1  
global         : Simple Test for Global Variables    : 3   of 3  
local          : Simple Test for Local Variables     : 4   of 4  
args           : Simple Test for Arguments           : 4   of 4  
return         : Simple Test for Arguments           : 3   of 3  
nested         : Test for nested function            : 3   of 3  
div            : Test for division                   : 3   of 3  
expr           : Test expression                     : 3   of 3  
expr2          : Test expression and vars            : 3   of 3  
rel            : Test Relational Operators           : 3   of 3  
equal          : Test Equality Operators             : 3   of 3  
and            : Test And Operator                   : 3   of 3  
or             : Test Or Operator                    : 3   of 3  
if             : Test If Statement                   : 3   of 3  
while          : Test While Statement                : 3   of 3  
dowhile        : Test Do/While Statement             : 3   of 3  
for            : Test For Statement                  : 4   of 4  
break          : Test break Statement                : 3   of 3  
continue       : Test continue Statement             : 3   of 3  
array          : Test arrays 1                       : 3   of 3  
array2         : Test arrays 2                       : 3   of 3  
sum            : Test sum of an array                : 3   of 3  
max            : Test max of an array                : 3   of 3  
bubblesort     : Bubble Sort of longs                : 4   of 4  
quicksort      : QuickSort of longs                  : 4   of 4  
fact           : Test factorial                      : 3   of 3  
ampersand      : Test ampersand operator             : 3   of 3  
char           : Array char access                   : 3   of 3  
char2          : Array char assignment               : 3   of 3  
strlen         : Compute strlen                      : 3   of 3  
quicksortstr   : Quicksort with strings              : 4   of 4  
queens         : 8 queens problem                    : 3   of 3  
                              Total:  100 of 100
